departamento,anio,tasa_desercion
Magdalena,2014,0.1404494382022472
Meta,2014,0.20090562440419446
Nariño,2014,0.1383866481223922
Norte De Santander,2014,0.1296751968503937
Putumayo,2014,0.18648960739030024
Quindío,2014,0.13333333333333333
Risaralda,2014,0.1137730870712401
Santander,2014,0.16931105740604532
Sucre,2014,0.16272727272727272
Tolima,2014,0.20286618276568025
Valle Del Cauca,2014,0.14029688051040365
Vaupés,2014,0.02564102564102564
Vichada,2014,0.17296222664015903
Amazonas,2015,0.2674897119341564
Antioquia,2015,0.08015214535107394
Arauca,2015,0.10402930402930403
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2015,0.05555555555555555
Atlántico,2015,0.10855356162788764
Bogotá D.C.,2015,0.09511240581436209
Bolívar,2015,0.09606502309399556
Boyacá,2015,0.06872749992561959
Caldas,2015,0.04910029292788395
Caquetá,2015,0.09712416049595315
Casanare,2015,0.14330161054172766
Cauca,2015,0.0966702470461869
Cesar,2015,0.11955176232979348
Chocó,2015,0.11335823779466701
Córdoba,2015,0.09412365431258245
Cundinamarca,2015,0.08110958759624512
Guainía,2015,0.21935483870967742
Guaviare,2015,0.21991701244813278
Huila,2015,0.09515765765765766
La Guajira,2015,0.13592528677291646
Magdalena,2015,0.07206284153005464
Meta,2015,0.10255487585462396
Nariño,2015,0.08279673749731702
Norte De Santander,2015,0.0881246019338776
Putumayo,2015,0.2623115577889447
Quindío,2015,0.07014524678185448
Risaralda,2015,0.07922124173954335
Santander,2015,0.07406419015086821
Sucre,2015,0.10518621114188981
Tolima,2015,0.10146729669236508
Valle Del Cauca,2015,0.0880660740533352
Vaupés,2015,0.0
Vichada,2015,0.23655913978494625
Departamento de oferta del programa,2015,2015.0
Amazonas,2015,0.2618384401114206
Antioquia,2015,0.11636355481802077
Arauca,2015,0.22545454545454546
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2015,0.07150259067357513
Atlántico,2015,0.11040385625560054
Bogotá D.C.,2015,0.1474730208944562
Bolívar,2015,0.13549781936109143
Boyacá,2015,0.09720885466794996
Caldas,2015,0.14180796083053768
Caquetá,2015,0.19458668617410388
Casanare,2015,0.09519230769230769
Cauca,2015,0.12489779231398201
Cesar,2015,0.09008866371120963
Chocó,2015,0.1807348560079444
Córdoba,2015,0.2025974025974026
Cundinamarca,2015,0.11689393607225852
Guainía,2015,0.28027681660899656
Guaviare,2015,0.1699489423778264
Huila,2015,0.12277558820016721
La Guajira,2015,0.1284569656241923
Magdalena,2015,0.11521686455052096
Meta,2015,0.16306806498046472
Nariño,2015,0.13000463750193228
Norte De Santander,2015,0.12658726252583916
Putumayo,2015,0.14823008849557523
Quindío,2015,0.11214614081780788
Risaralda,2015,0.12703635342267874
Santander,2015,0.1568546847931409
Sucre,2015,0.16152716593245228
Tolima,2015,0.14366136962873227
Valle Del Cauca,2015,0.1321979634487972
Vaupés,2015,0.40588235294117647
Vichada,2015,0.2413793103448276
Departamento de oferta del programa,2015,2015.0
Amazonas,2015,0.22784810126582278
Antioquia,2015,0.1472560975609756
Arauca,2015,1.0
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2015,0.35353535353535354
Atlántico,2015,0.22133719526912865
Bogotá D.C.,2015,0.23035694551884187
Bolívar,2015,0.24183625177472787
Boyacá,2015,0.02053388090349076
Caldas,2015,0.09454855195911414
Caquetá,2015,0.33136094674556216
Casanare,2015,0.1691542288557214
Cauca,2015,0.19101123595505617
Cesar,2015,0.5
Chocó,2015,0.02666666666666667
Córdoba,2015,0.2144469525959368
Cundinamarca,2015,0.07010014306151645
Guainía,2015,0.2558139534883721
Huila,2015,0.25673249551166966
La Guajira,2015,0.20833333333333334
Magdalena,2015,0.19801324503311257
Meta,2015,0.14111006585136407
Nariño,2015,0.21540656205420827
Norte De Santander,2015,0.13685636856368563
Putumayo,2015,0.24257425742574257
Quindío,2015,0.1499312242090784
Risaralda,2015,0.1552369077306733
Santander,2015,0.3234250221827862
Sucre,2015,0.22990915443745633
Tolima,2015,0.16032608695652173
Valle Del Cauca,2015,0.2225553176302641
Vichada,2015,0.75
Departamento de oferta del programa,2015,2015.0
Amazonas,2015,0.2714285714285714
Antioquia,2015,0.11518403836751799
